"Pathways"	"Reactions of pathway"
PWY-1269	DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN
FUC-RHAMCAT-PWY	LACTALDREDUCT-RXN // L-LACTDEHYDROGFMN-RXN // LACTALDDEHYDROG-RXN // RXN0-5306 // RXN-15356 // RHAMNISOM-RXN // RHAMNULOKIN-RXN // RHAMNULPALDOL-RXN // RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
PWY-5480	ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN
PWY0-781	S-ADENMETSYN-RXN // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN // RXN-15131 // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // RXN-14014 // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
DETOX1-PWY	CATAL-RXN // SUPEROX-DISMUT-RXN
PWY-6700	RXN-12104 // RXN0-1342 // RXN0-1321 // RXN0-4022
TRESYN-PWY	TREHALOSEPHOSPHA-RXN // TREHALOSE6PSYN-RXN
PWY-7176	CTPSYN-RXN // UDPKIN-RXN // RXN-12002
PWY0-981	RXN0-299
PWY0-162	CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // RXN0-6491 // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
PWY-5794	RXN-9730 // RXN-9729 // RXN-9728
PWY0-1021	RXN0-308
METSYN-PWY	HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // RXN-15131 // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN
ALANINE-VALINESYN-PWY	VALINE-PYRUVATE-AMINOTRANSFER-RXN // ALARACECAT-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY-5989	RXN-9548 // RXN-9635 // RXN-9634 // RXN-9633 // RXN-9632
ALANINE-SYN2-PWY	ALANINE-AMINOTRANSFERASE-RXN
HOMOSER-METSYN-PWY	RXN-15131 // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN
PWY0-1061	ALANINE-AMINOTRANSFERASE-RXN // RXN0-308 // VALINE-PYRUVATE-AMINOTRANSFER-RXN // ALARACECAT-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY0-166	RXN-12195 // RXN0-723 // RXN0-724 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-722 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // THYMIDYLATESYN-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCTP-DEAM-RXN // DCDPKIN-RXN
PWY-5837	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-7187	RXN0-723 // RXN0-724 // DTDPKIN-RXN // DTMPKI-RXN // THYMIDYLATESYN-RXN // DUTP-PYROP-RXN // DCTP-DEAM-RXN
DAPLYSINESYN-PWY	RXN-14014 // ASPARTATEKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN
PWY-4381	2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN
PYRUVOX-PWY	RXN-11496
PWY0-901	RXN0-2161 // 2.9.1.1-RXN // 2.7.9.3-RXN
PWY-6277	GART-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6121	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6122	GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-6892	RXN0-308 // RXN-14382 // RXN-11319 // RXN-9789 // RXN-9788 // DXS-RXN // THIAZOLSYN2-RXN
THISYN-PWY	RXN0-308 // RXN-14382 // RXN-11319 // RXN-9789 // RXN-9788 // DXS-RXN // THIAZOLSYN2-RXN // RXN-12611 // THI-P-KIN-RXN // PYRIMSYN1-RXN // PYRIMSYN3-RXN
PWY-6890	PYRIMSYN1-RXN // PYRIMSYN3-RXN
LCYSDEG-PWY	RXN-15127 // RXN-15124 // RXN-15129
PWY-6620	RXN0-5199 // GUANPRIBOSYLTRAN-RXN
PWY-7181	THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
CYANCAT-PWY	R524-RXN // RXN0-5224 // RXN0-5222
PWY0-1277	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // RXN-13463 // HCAMULTI-RXN // PHENPRODIOLDEHYDROG-RXN // MHPHYDROXY-RXN // 1.13.11.16-RXN // MHPCHYDROL-RXN
AMMASSIM-PWY	GLUTAMATESYN-RXN // GLUTAMINESYN-RXN
PWY-6618	GUANOSINEKIN-RXN
GLNSYN-PWY	GLUTAMINESYN-RXN
PWY-6579	GUANOSINEKIN-RXN // RXN0-5199 // GUANPRIBOSYLTRAN-RXN
PWY0-41	RXN0-7024 // CARBAMATE-KINASE-RXN // OXAMATE-CARBAMOYLTRANSFERASE-RXN // R165-RXN // URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN
PWY0-1295	URPHOS-RXN // CYTIDEAM2-RXN
PWY-5705	URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN // UREIDOGLYCOLATE-LYASE-RXN
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN // CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN // SUCCSEMIALDDEHYDROG-RXN // 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN // 5.3.3.10-RXN // CHMS-DEHYDROGENASE-RXN // 1.13.11.15-RXN // RXN-8505
PWY-5698	URUR-RXN // ALLANTOATE-DEIMINASE-RXN // ALLANTOINASE-RXN
PWY-4621	RXN-982
PWY-6163	RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN
NADPHOS-DEPHOS-PWY	RXN-5822 // TRANS-RXN0-277 // NAD-KIN-RXN
ARO-PWY	RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PYRIDNUCSAL-PWY	NICOTINAMID-RXN // NAD-SYNTH-GLN-RXN // NMNNUCLEOSID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NADPYROPHOSPHAT-RXN // NMNAMIDOHYDRO-RXN // NICONUCADENYLYLTRAN-RXN
PWY3O-4106	RIBOSYLNICOTINAMIDE-KINASE-RXN // 2.7.7.1-RXN
PWY-6608	RXN0-5199 // RXN0-901 // RXN-7609 // GUANINE-DEAMINASE-RXN
PYRIDNUCSYN-PWY	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
SULFATE-CYS-PWY	RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN // ACSERLY-RXN // SERINE-O-ACETTRAN-RXN // ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN
SO4ASSIM-PWY	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN // 1.8.4.8-RXN // SULFITE-REDUCT-RXN
PWY-6703	RXN-12093 // RXN0-6575 // RXN0-5507 // GTP-CYCLOHYDRO-I-RXN
CYSTSYN-PWY	ACSERLY-RXN // SERINE-O-ACETTRAN-RXN
PWY-5386	DLACTDEHYDROGFAD-RXN // GLYOXII-RXN // GLYOXI-RXN
PWY-5453	RXN-8632 // RXN0-4281
PWY0-1261	RXN0-2361 // RXN0-5227 // NAG1P-URIDYLTRANS-RXN // 2.3.1.157-RXN // 5.4.2.10-RXN // NAG6PDEACET-RXN // RXN0-5225 // RXN0-5226 // RXN0-4621 // RXN0-4641
TREDEGLOW-PWY	RXN66-521 // TRE6PHYDRO-RXN
PWY0-1466	ALDOSE-1-EPIMERASE-RXN // TREHALA-RXN
PWY0-1182	ALDOSE-1-EPIMERASE-RXN // GLUCOKIN-RXN // TREHALA-RXN
PWY0-461	LYSDECARBOX-RXN
TCA	MALATE-DEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCITDEH-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
BSUBPOLYAMSYN-PWY	SAMDECARB-RXN // SPERMIDINESYN-RXN
PWY0-43	RXN0-268 // RXN0-310 // METHYLMALONYL-COA-MUT-RXN
PWY-6894	RXN-12611 // THI-P-KIN-RXN
GALACTITOLCAT-PWY	GALACTITOLPDEHYD-RXN // TAGAALDOL-RXN // TAGAKIN-RXN
PWY-7184	RXN-12195 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // THYMIDYLATESYN-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCDPKIN-RXN
PWYCQD-2	DTDPGLUCOSEPP-RXN // DTDPGLUCDEHYDRAT-RXN // RXNCQD-1 // 2.6.1.33-RXN
SORBDEG-PWY	RXN-14812 // SORB6PDEHYDROG-RXN
ECASYN-PWY	UDPGLCNACEPIM-RXN // UDPMANNACADEHYDROG-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RFFTRANS-RXN // TDPFUCACTRANS-RXN // GLCNACPTRANS-RXN // FUC4NACTRANS-RXN // UDPMANACATRANS-RXN
MANNIDEG-PWY	MANNPDEHYDROG-RXN
KDOSYN-PWY	KDOTRANS2-RXN // KDOTRANS-RXN
HEXITOLDEGSUPER-PWY	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // GALACTITOLPDEHYD-RXN // TAGAALDOL-RXN // TAGAKIN-RXN // RXN-14812 // SORB6PDEHYDROG-RXN // MANNPDEHYDROG-RXN
PWY-5188	GLURS-RXN // GLUTRNAREDUCT-RXN // GSAAMINOTRANS-RXN // PORPHOBILSYNTH-RXN // OHMETHYLBILANESYN-RXN // UROGENIIISYN-RXN
PWY-5443	4.1.1.81-RXN // RXN-8626
ARG+POLYAMINE-SYN	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // LYSDECARBOX-RXN // RXN0-5217 // SAMDECARB-RXN // SPERMIDINESYN-RXN // ORNDECARBOX-RXN // AGMATIN-RXN // ARGDECARBOX-RXN
PWY0-1303	LYSDECARBOX-RXN // RXN0-5217
PWY-4121	GSPSYN-RXN
GLUAMCAT-PWY	NAG6PDEACET-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN
POLYAMSYN-PWY	LYSDECARBOX-RXN // RXN0-5217 // SAMDECARB-RXN // SPERMIDINESYN-RXN // ORNDECARBOX-RXN // AGMATIN-RXN // ARGDECARBOX-RXN
BETSYN-PWY	BADH-RXN // CHD-RXN
SERSYN-PWY	RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
PWY0-1337	RXN0-5393 // RXN0-5390 // RXN0-5391
SERDEG-PWY	RXN-15127 // RXN-15124 // RXN-15125
FAO-PWY	ENOYL-COA-HYDRAT-RXN // ENOYL-COA-DELTA-ISOM-RXN // ACYLCOADEHYDROG-RXN // ACYLCOASYN-RXN // OHBUTYRYL-COA-EPIM-RXN // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN
COLANSYN-PWY	UGD-RXN // PHOSPHOGLUCMUT-RXN // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // GLUC1PURIDYLTRANS-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN // PGLUCISOM-RXN // 1.1.1.271-RXN // GDPMANDEHYDRA-RXN // UDPGLUCEPIM-RXN
PWY-5437	RXN-15121 // RXN-15123 // RXN-15122 // PROPKIN-RXN // PTAALT-RXN // KETOBUTFORMLY-RXN
THREONINE-DEG2-PWY	AKBLIG-RXN // THREODEHYD-RXN
PWY-5436	ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN
PWY0-1507	DAPASYN-RXN // 2.8.1.6-RXN // DETHIOBIOTIN-SYN-RXN
THRDLCTCAT-PWY	AMACETOXID-RXN // THREOSPON-RXN // THREODEHYD-RXN
BIOTIN-BIOSYNTHESIS-PWY	DAPASYN-RXN // 2.8.1.6-RXN // DETHIOBIOTIN-SYN-RXN // RXN-11484 // RXN-11474 // RXN-11475 // RXN-11476 // RXN-11477 // RXN-11478 // RXN-11479 // RXN-11480 // RXN-11481 // RXN-11482 // RXN-11483
TRPSYN-PWY	RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN
PWY-5350	THIOSULFATE-SULFURTRANSFERASE-RXN
GLYCLEAV-PWY	RXN-8629 // GCVT-RXN // GCVP-RXN
GALACTMETAB-PWY	ALDOSE1EPIM-RXN // GLUC1PURIDYLTRANS-RXN // UDPGLUCEPIM-RXN // GALACTURIDYLYLTRANS-RXN // GALACTOKIN-RXN
PWY-5659	2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN // PGLUCISOM-RXN
PWY-7315	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RFFTRANS-RXN // TDPFUCACTRANS-RXN
DTDPRHAMSYN-PWY	DTDPGLUCOSEPP-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-66	1.1.1.271-RXN // GDPMANDEHYDRA-RXN
PWYCQD-4	RXNCQD-8 // RXN-13548 // TAGAKIN-RXN // TAGAALDOL-RXN
ILEUSYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN
PWYCQD-3	RXNCQD-10 // RXN-13548 // 3.5.1.80-RXN // TAGAKIN-RXN // TAGAALDOL-RXN
PWY-6028	ALCOHOL-DEHYDROG-RXN // RXN-9718
BGALACT-PWY	BETAGALACTOSID-RXN
HOMOSER-THRESYN-PWY	THRESYN-RXN // HOMOSERKIN-RXN
PWY0-1534	RXN0-6945 // CYSTEINE-AMINOTRANSFERASE-RXN
GLUTAMINEFUM-PWY	GLUTAMATESYN-RXN
PWY0-501	RXN0-947 // RXN0-949
GLUTAMINDEG-PWY	GLUTAMIN-RXN
PWY-7180	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN
PWY0-1309	RXN0-7002 // RXN0-7001
PWY-6772	RXN-12275 // RXN-12274
RIBOKIN-PWY	RXN-14904 // RXN0-5304 // RIBOKIN-RXN
PWY0-1275	RXN0-949 // RXN0-5098
FUCCAT-PWY	RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
PWY0-522	RXN-8654 // RXN-8655
MANNCAT-PWY	MANNPISOM-RXN
PWY-7335	UDPGLCNACEPIM-RXN // UDPMANNACADEHYDROG-RXN
PWY0-1301	ALPHAGALACTOSID-RXN
PWY0-44	ALLOSE-KINASE-RXN // RXN0-304 // RXN0-303
PWY-7346	UGD-RXN
LYXMET-PWY	RIBULPEPIM-RXN // LXULRU5P-RXN // LYXK-RXN // LYXISOM-RXN
PWY0-1300	GKI-RXN // RXN0-5216
PWY-7344	UDPGLUCEPIM-RXN
PWY0-1314	1PFRUCTPHOSN-RXN
GLUCOSE1PMETAB-PWY	RXN0-6373 // GLUCONOLACT-RXN // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // GLUCOKIN-RXN // PHOSPHOGLUCMUT-RXN // GLUCOSE-1-PHOSPHAT-RXN
PWY-7343	PHOSPHOGLUCMUT-RXN // GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // GLUC1PURIDYLTRANS-RXN
XYLCAT-PWY	XYLISOM-RXN // XYLULOKIN-RXN
PHOSLIPSYN-PWY	RXN0-7012 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN // GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
FERMENTATION-PWY	ISOCITDEH-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // R601-RXN // FHLMULTI-RXN // PEPCARBOX-RXN // MALATE-DEH-RXN // FUMHYDR-RXN // DLACTDEHYDROGNAD-RXN // PEPDEPHOS-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN
PWY0-1319	RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN // CDPDIGLYSYN-RXN
PWY-5667	GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
ARABCAT-PWY	RXN0-5116 // RIBULPEPIM-RXN // ARABISOM-RXN
PWY0-1312	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN
PWY-5755	CHORPYRLY-RXN
GLYCOGENSYNTH-PWY	GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN // PHOSPHOGLUCMUT-RXN // GLUC1PADENYLTRANS-RXN // GLYCOGEN-BRANCH-RXN // GLYCOGENSYN-RXN
ALADEG-PWY	DALADEHYDROG-RXN // ALARACECAT-RXN
PWY-5484	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN
PWY-6153	RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605 // RXN-10015 // RXN-10017
AST-PWY	SUCCGLUDESUCC-RXN // SUCCGLUALDDEHYD-RXN // SUCCORNTRANSAM-RXN // SUCCARGDIHYDRO-RXN // ARGININE-N-SUCCINYLTRANSFERASE-RXN
GLYCOLYSIS	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN
ARGDEG-PWY	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN // AGMATIN-RXN // ARGDECARBOX-RXN // RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
PWY-6268	COBALADENOSYLTRANS-RXN
COBALSYN-PWY	COBALAMIN5PSYN-RXN // RXN-8770 // BTUR2-RXN // DMBPPRIBOSYLTRANS-RXN // COBINAMIDEKIN-RXN // COBINPGUANYLYLTRANS-RXN
ORNARGDEG-PWY	ORNDECARBOX-RXN // PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN // SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN // AGMATIN-RXN // ARGDECARBOX-RXN // RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
PWY0-823	AGMATIN-RXN // ARGDECARBOX-RXN
GLUTSYN-PWY	GLUTAMATESYN-RXN
GLUTSYNIII-PWY	GLUTDEHYD-RXN
PWY0-1338	RXN0-2001 // RXN0-5409 // RXN0-3521 // RXN0-1863 // RXN0-1862 // RXN0-1861
PWY0-1299	ARGDECARBOX-RXN
PWY-1801	RXN-2962 // RXN-2961 // S-FORMYLGLUTATHIONE-HYDROLASE-RXN
PWY0-1305	GLUTDECARBOX-RXN
ASPARAGINE-DEG1-PWY	ASPARAGHYD-RXN
PWY-5971	3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9655 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657
HEME-BIOSYNTHESIS-II	RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // UROGENDECARBOX-RXN
PWY0-1415	RXN0-6259 // HEMN-RXN // RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // UROGENDECARBOX-RXN
HEMESYN2-PWY	RXN0-6259 // HEMN-RXN // UROGENDECARBOX-RXN // PROTOHEMEFERROCHELAT-RXN
RIBOSYN2-PWY	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN
MALATE-ASPARTATE-SHUTTLE-PWY	MALATE-DEH-RXN // ASPAMINOTRANS-RXN
PWY0-521	RXN0-4841 // RXN0-962 // RXN0-963
ASPARAGINESYN-PWY	ASNSYNA-RXN
ASPARAGINE-BIOSYNTHESIS	ASNSYNB-RXN
PWY0-1325	ASNSYNA-RXN // ASNSYNB-RXN
PWY0-1297	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN // ADDALT-RXN // DEOXYADENPHOSPHOR-RXN // DEOXYGUANPHOSPHOR-RXN // DEOXYINOPHOSPHOR-RXN
PWY-6019	PSEUDOURIDINE-KINASE-RXN // RXN0-5398
PWY0-1296	PPENTOMUT-RXN // RXN0-5199 // INOPHOSPHOR-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN // XANTHOSINEPHOSPHORY-RXN
PWY-7179	ADDALT-RXN // DEOXYADENPHOSPHOR-RXN // DEOXYGUANPHOSPHOR-RXN // DEOXYINOPHOSPHOR-RXN
SALVPURINE2-PWY	XANTHOSINEPHOSPHORY-RXN // XANPRIBOSYLTRAN-RXN
PWY-6617	AMP-NUCLEOSID-RXN
PWY-6609	HYPOXANPRIBOSYLTRAN-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN // INOPHOSPHOR-RXN
SALVADEHYPOX-PWY	AMP-DEPHOSPHORYLATION-RXN // RXN-7682 // RXN0-901 // ADENODEAMIN-RXN // INOPHOSPHOR-RXN
PWY-6605	ADENOSINE-NUCLEOSIDASE-RXN // ADENPRIBOSYLTRAN-RXN
PWY0-1527	RXN0-6677 // RXN0-6676
PWY-6611	INOSINEKIN-RXN // ADENODEAMIN-RXN // ADENPHOSPHOR-RXN
ACETATEUTIL-PWY	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // ACETATE--COA-LIGASE-RXN
GLUCONSUPER-PWY	GLUCONOKIN-RXN
PWY-5162	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN
PWY0-1313	ACETATE--COA-LIGASE-RXN
PWY0-1465	1.1.1.83-RXN
PYRUVDEHYD-PWY	RXN0-1132 // RXN0-1133 // RXN0-1134
PWY-6823	RXN0-308 // RXN-12473 // RXN-11361 // RXN-8348 // RXN-8344 // RXN-8342 // RXN-8340
PWY0-541	2.1.1.79-RXN
PWY0-1535	DSERDEAM-RXN
PANTO-PWY	PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN
PWY-6387	DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
OANTIGEN-PWY-1	RXNCQD-1 // 2.6.1.33-RXN // PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN // DTDPGLUCOSEPP-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN // GALPMUT-RXN
